time,patchID,bWeightHuman,bWeightZoo,bWeightZootox,kappa
159,1,496,0,0,0.000303029076246682
159,2,496,0,0,0.000909105832966099
159,3,1,0,0,0
159,4,0,0,0,0
159,5,1,0,0,0
159,6,1,0,0,0
159,7,0,0,0,0
159,8,0,0,0,0
159,9,0,0,0,0
160,1,497,0,0,0.000302420581642347
160,2,495,0,0,0.000910927486531245
160,3,2,0,0,0
160,4,0,0,0,0
160,5,0,0,0,0
160,6,1,0,0,0
160,7,0,0,0,0
160,8,0,0,0,0
160,9,0,0,0,0
161,1,496,0,0,0.000303029073753311
161,2,495,0,0,0.000910931166639457
161,3,4,0,0,0
161,4,0,0,0,0
161,5,0,0,0,0
161,6,0,0,0,0
161,7,0,0,0,0
161,8,0,0,0,0
161,9,0,0,0,0
162,1,492,0,0,0.000305493961532019
162,2,495,0,0,0.000910931174074019
162,3,5,0,0,0
162,4,0,0,0,0
162,5,0,0,0,0
162,6,3,0,0,0
162,7,0,0,0,0
162,8,0,0,0,0
162,9,0,0,0,0
163,1,491,0,0,0.000306121168964424
163,2,495,0,0,0.000910931174089038
163,3,6,0,0,0
163,4,0,0,0,0
163,5,0,0,0,0
163,6,3,0,0,0
163,7,0,0,0,0
163,8,0,0,0,0
163,9,0,0,0,0
164,1,494,0,0,0.000304263403176041
164,2,495,0,0,0.000910931174089069
164,3,2,0,0,0
164,4,0,0,0,0
164,5,0,0,0,0
164,6,4,0,0,0
164,7,0,0,0,0
164,8,0,0,0,0
164,9,0,0,0,0
165,1,495,0,0,0.000303644976572073
165,2,493,0,0,0.00091462663524156
165,3,3,0,0,0
165,4,0,0,0,0
165,5,0,0,0,0
165,6,4,0,0,0
165,7,0,0,0,0
165,8,0,0,0,0
165,9,0,0,0,0
166,1,497,0,0,0.000302421820878415
166,2,493,0,0,0.000914634131105967
166,3,2,0,0,0
166,4,0,0,0,0
166,5,0,0,0,0
166,6,3,0,0,0
166,7,0,0,0,0
166,8,0,0,0,0
166,9,0,0,0,0
167,1,497,0,0,0.00030241935980056
167,2,493,0,0,0.00091463414631056
167,3,2,0,0,0
167,4,0,0,0,0
167,5,0,0,0,0
167,6,3,0,0,0
167,7,0,0,0,0
167,8,0,0,0,0
167,9,0,0,0,0
168,1,497,0,0,0.000302419354848693
168,2,493,0,0,0.000914634146341401
168,3,2,0,0,0
168,4,0,0,0,0
168,5,0,0,0,0
168,6,3,0,0,0
168,7,0,0,0,0
168,8,0,0,0,0
168,9,0,0,0,0
169,1,497,0,0,0.00030241935483873
169,2,491,0,0,0.000918359743678903
169,3,1,0,0,0
169,4,0,0,0,0
169,5,0,0,0,0
169,6,5,0,0,0
169,7,1,0,0,0
