time,state,patch1,patch2,patch3,patch4,patch5,patch6,patch7,patch8,patch9
252,Z,0.0483855440175476,0.153383628911398,3.73668670734823e-12,9.75527988760536e-12,5.12577051762446e-12,3.73668670734823e-12,9.75527988760536e-12,5.12577051762446e-12,3.73668670734823e-12
253,M,200.901542031845,197.951824619017,0,0,0,0,0,0,0
253,Y,0.159965219326981,0.494785796684295,0,0,0,0,0,0,0
253,Z,0.0484276861882536,0.154089068312179,3.36301803661341e-12,8.77975189884482e-12,4.61319346586201e-12,3.36301803661341e-12,8.77975189884482e-12,4.61319346586201e-12,3.36301803661341e-12
254,M,206.911387828661,197.056642157115,0,0,0,0,0,0,0
254,Y,0.160920208259519,0.493566560221929,0,0,0,0,0,0,0
254,Z,0.048439342475165,0.154609972913521,3.02671623295207e-12,7.90177670896034e-12,4.15187411927581e-12,3.02671623295207e-12,7.90177670896034e-12,4.15187411927581e-12,3.02671623295207e-12
255,M,197.920249045795,189.950977941403,0,0,0,0,0,0,0
255,Y,0.160944891972508,0.490725202192387,0,0,0,0,0,0,0
255,Z,0.0485285679751284,0.155011347348894,2.72404460965686e-12,7.1115990380643e-12,3.73668670734823e-12,2.72404460965686e-12,7.1115990380643e-12,3.73668670734823e-12,2.72404460965686e-12
256,M,202.428224141215,193.455880147263,0,0,0,0,0,0,0
256,Y,0.161400726754482,0.489220707999246,0,0,0,0,0,0,0
256,Z,0.0485355117932627,0.155920464121394,2.45164014869118e-12,6.40043913425787e-12,3.36301803661341e-12,2.45164014869118e-12,6.40043913425787e-12,3.36301803661341e-12,2.45164014869118e-12
257,M,204.685401727094,196.610292132537,0,0,0,0,0,0,0
257,Y,0.161962084019764,0.488644790982412,0,0,0,0,0,0,0
257,Z,0.0486219809087917,0.155799808691009,2.20647613382206e-12,5.76039522083209e-12,3.02671623295207e-12,2.20647613382206e-12,5.76039522083209e-12,3.02671623295207e-12,2.20647613382206e-12
258,M,196.816861554384,207.549262919283,0,0,0,0,0,0,0
258,Y,0.161792458488046,0.490719391340651,0,0,0,0,0,0,0
258,Z,0.048813956619708,0.155354452652876,1.98582852043985e-12,5.18435569874888e-12,2.72404460965686e-12,1.98582852043985e-12,5.18435569874888e-12,2.72404460965686e-12,1.98582852043985e-12
